,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,workclass_cat,education_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,native-country_cat,Education_is_high,middle_age_man,is_US,working_less_or_more_4,working_vs_ocuppation_test,husband_wife,occupation_2,y_new_pred
24,33,Private,857532,12th,8,Never-married,Protective-serv,Own-child,Black,Male,0,0,40,United-States,1,2,1,8,1,1,1,False,0,True,1,0,0,0,0
25,26,Private,172230,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,1,0,1,6,2,0,1,False,0,True,1,0,0,0,0
26,35,Self-emp-not-inc,153066,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0,0,0,0,0,0,1,False,0,True,3,3,1,0,0
27,37,Private,172571,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,1,0,2,7,2,0,1,False,0,True,1,0,0,0,0
28,22,Private,216867,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,1,8,0,7,0,0,2,False,0,False,1,0,1,0,0
29,57,Private,169329,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Black,Male,0,1887,40,Trinadad&Tobago,1,0,0,9,0,1,3,False,0,False,1,0,1,0,0
30,49,Private,34377,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,2,0,0,0,0,1,False,0,True,1,0,1,0,0
31,38,Private,150057,Masters,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,Poland,1,5,0,0,0,0,4,True,0,False,3,3,1,0,1
32,24,Private,88095,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,24,Mexico,1,6,1,7,2,0,2,False,0,False,0,0,0,0,0
33,27,Private,22422,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,1,6,1,4,4,0,1,False,0,True,1,0,0,0,0
34,35,Self-emp-not-inc,190387,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,0,3,0,2,0,0,1,False,0,True,3,0,1,0,0
35,25,Private,441210,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,1,0,1,3,1,0,1,False,0,True,1,0,0,0,0
36,38,Private,234298,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,6849,0,60,United-States,1,3,2,5,2,0,1,False,0,True,3,8,0,0,0
37,47,Private,248059,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,47,United-States,1,6,0,10,0,0,1,False,0,True,3,13,1,0,0
38,53,Private,193720,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,1,6,0,5,0,0,1,False,0,True,1,0,1,0,0
39,28,Self-emp-not-inc,33363,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,0,0,0,2,0,0,1,False,0,True,3,0,1,0,0
40,42,Private,128354,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1,3,0,6,5,0,1,False,0,True,1,0,1,0,0
41,22,Private,141040,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,35,United-States,1,0,1,4,1,1,1,False,0,True,1,0,0,0,0
42,29,Private,89598,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2057,35,United-States,1,3,0,5,5,0,1,False,0,True,1,0,1,0,0
43,26,Private,163747,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,55,United-States,1,3,1,4,2,0,1,False,0,True,3,0,0,0,0
44,58,Self-emp-inc,174864,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,2,0,0,4,0,0,1,False,0,True,3,0,1,0,0
45,26,Private,375499,10th,6,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,20,United-States,1,9,1,6,2,1,1,False,0,True,0,0,0,0,0
46,28,Private,203784,Preschool,1,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,38,Mexico,1,10,1,2,2,0,2,False,0,False,1,0,0,0,0
47,30,Private,269723,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,1,6,1,4,2,0,1,False,0,True,3,0,0,0,0
48,37,Local-gov,327120,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,United-States,5,6,0,11,0,0,1,False,0,True,0,0,1,0,0
49,50,Private,148431,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,1,5,0,5,0,0,1,True,0,True,3,8,1,0,1
50,24,Private,229826,Bachelors,13,Never-married,Transport-moving,Own-child,White,Male,0,0,20,United-States,1,3,1,11,1,0,1,False,0,True,0,0,0,0,0
51,58,Private,259532,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,1,6,0,11,0,0,1,False,0,True,3,0,1,0,0
52,38,Private,111398,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,United-States,1,3,0,3,5,0,1,False,0,True,1,0,1,0,1
53,24,Private,121313,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1,0,0,6,0,0,1,False,0,True,1,0,1,0,0
54,30,Federal-gov,314310,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,3,3,0,3,0,0,1,False,0,True,1,0,1,0,0
55,25,Private,385646,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,1,0,1,2,1,0,1,False,0,True,1,0,0,0,0
56,32,Local-gov,217296,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,4064,0,22,United-States,5,0,0,11,5,0,1,False,0,True,0,0,1,0,0
57,24,Private,34568,Assoc-voc,11,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,1,11,1,11,2,0,1,False,0,True,1,0,0,0,0
58,28,Private,188711,Bachelors,13,Never-married,Transport-moving,Unmarried,White,Male,0,0,20,United-States,1,3,1,11,3,0,1,False,0,True,0,0,0,0,0
59,33,Private,202191,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,1,6,1,6,3,1,1,False,0,True,1,0,0,0,0
60,31,Private,66278,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,3908,0,40,United-States,1,6,0,3,5,0,1,False,0,True,1,0,1,0,0
61,39,Private,140854,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,1,0,1,3,2,0,1,False,0,True,3,6,0,0,0
62,25,Private,242136,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,1,0,2,7,2,1,1,False,0,True,1,0,0,0,0
63,48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,1,0,0,0,0,0,1,False,0,True,3,3,1,0,0
64,34,Private,150154,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,1,0,1,6,1,0,1,False,0,True,1,0,0,0,0
65,22,Private,58916,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,1,6,1,6,2,0,1,False,0,True,0,0,0,0,0
66,20,Local-gov,188950,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,25,United-States,5,6,1,8,1,0,1,False,0,True,0,0,0,0,0
67,32,Private,113364,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1,3,1,3,2,0,1,False,0,True,1,0,0,0,0
68,39,Self-emp-not-inc,597843,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,Columbia,0,5,1,3,2,0,5,True,0,False,3,6,0,0,0
69,45,Private,26781,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,8,United-States,1,0,0,3,0,2,1,False,0,True,0,0,1,0,0
70,23,Private,213115,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,1,0,1,6,1,1,1,False,0,True,1,0,0,0,0
71,42,Private,180096,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States,1,0,0,1,0,0,1,False,0,True,3,4,1,0,0
72,35,Private,114765,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,1,3,2,4,2,0,1,False,0,True,1,0,0,0,0
73,65,Private,23580,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,1,3,2,6,2,0,1,False,0,True,1,0,0,0,0
74,33,Local-gov,368675,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,5,6,0,8,0,0,1,False,0,True,1,0,1,0,0
75,39,Self-emp-not-inc,107302,Bachelors,13,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,35,United-States,0,3,0,0,4,0,1,False,0,True,1,0,0,0,0
76,44,Local-gov,174684,HS-grad,9,Divorced,Craft-repair,Unmarried,Black,Male,0,0,40,United-States,5,0,2,0,3,1,1,False,0,True,1,0,0,0,0
77,36,Private,196662,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,Puerto-Rico,1,6,1,11,2,0,6,False,0,False,3,0,0,0,0
78,30,Local-gov,99502,Assoc-voc,11,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,5,11,2,8,3,2,1,False,0,True,1,0,0,0,0
79,44,Private,96170,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,1,8,0,11,0,0,1,False,0,True,0,0,1,0,0
80,45,Self-emp-inc,208049,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,1590,40,United-States,2,1,2,5,2,0,1,False,0,True,1,0,0,0,0
81,58,Private,81038,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,12,United-States,1,6,0,4,0,0,1,False,0,True,0,0,1,0,0
82,23,State-gov,315449,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States,4,6,1,6,1,1,1,False,0,True,0,0,0,0,0
83,60,Private,135158,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,48,United-States,1,6,0,0,0,0,1,False,0,True,3,3,1,0,1
84,71,Private,139031,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1,0,3,3,2,0,1,False,0,True,1,0,0,0,0
85,46,Private,358533,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,40,United-States,1,6,0,8,0,1,1,False,0,True,1,0,1,0,0
86,45,Private,34307,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,1,3,2,3,3,0,1,False,0,True,1,0,0,0,0
87,55,Private,227856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,1,3,0,5,0,0,1,False,0,True,3,8,1,0,1
88,33,Private,206707,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,1,0,2,0,1,0,1,False,0,True,1,0,0,0,0
89,35,Private,107991,11th,7,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,1,12,1,4,2,0,1,False,0,True,3,0,0,0,0
90,46,Private,91608,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,4,0,0,0,0,1,True,0,True,1,0,1,0,1
91,19,Private,386378,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,1,6,1,10,1,0,1,False,0,True,0,0,0,0,0
92,47,Local-gov,218596,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,5,11,2,6,2,0,1,False,0,True,1,0,0,0,0
93,31,Local-gov,121055,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,5,0,0,0,0,0,1,False,0,True,3,3,1,0,0
94,62,Local-gov,242341,Some-college,10,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,5,6,2,3,2,2,1,False,0,True,1,0,0,0,0
95,34,Private,98101,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,8,0,11,0,0,1,False,0,True,1,0,1,0,0
96,37,Private,355856,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,1,3,0,0,0,4,7,False,0,False,1,0,1,0,0
97,44,Private,267790,9th,5,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,1,13,1,10,3,1,1,False,0,True,1,0,0,0,0
98,46,Private,251474,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1,3,0,5,0,0,1,False,0,True,3,8,1,0,0
99,47,Private,246891,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,United-States,1,3,0,4,0,0,1,False,0,True,3,0,1,0,1
100,63,Self-emp-not-inc,298249,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,10605,0,40,United-States,0,3,0,4,0,0,1,False,0,True,1,0,1,0,1
101,27,Local-gov,204098,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,50,United-States,5,0,0,1,4,0,1,False,0,True,3,4,0,0,0
102,67,Private,220283,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,20,United-States,1,0,2,4,2,0,1,False,0,True,0,0,0,0,0
103,23,State-gov,191165,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,15,United-States,4,6,1,8,2,0,1,False,0,True,0,0,0,0,0
104,23,Private,82067,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,30,United-States,1,6,1,0,1,0,1,False,0,True,0,0,0,0,0
105,24,Private,324960,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,1,1,1,6,2,0,1,False,0,True,0,0,0,0,0
106,22,Private,429346,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,40,United-States,1,0,1,6,4,1,1,False,0,True,1,0,0,0,0
107,30,Self-emp-not-inc,229741,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0,0,0,0,0,1,False,0,True,1,0,1,0,0
108,25,Private,191782,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,1,12,1,7,1,1,1,False,0,True,1,0,0,0,0
109,66,Private,344436,HS-grad,9,Widowed,Sales,Other-relative,White,Female,0,0,8,United-States,1,0,3,4,4,0,1,False,0,True,0,0,0,0,0
110,19,Private,118535,12th,8,Never-married,Sales,Own-child,White,Female,0,0,18,United-States,1,2,1,4,1,0,1,False,0,True,0,0,0,0,0
111,38,Private,195686,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,6,0,0,0,0,1,False,0,True,1,0,1,0,0
112,40,Private,77357,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,4,0,3,0,0,1,True,0,True,1,0,1,0,0
113,73,Self-emp-inc,159691,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,2,6,2,5,2,0,1,False,0,True,1,0,0,0,0
114,33,Private,280111,11th,7,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,38,United-States,1,12,1,6,3,1,1,False,0,True,1,0,0,0,0
115,43,Private,346189,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1,5,0,5,0,0,1,True,0,True,3,8,1,0,1
116,29,Private,237865,Masters,14,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,1,5,1,11,1,1,1,True,0,True,1,0,0,0,0
117,41,Federal-gov,260761,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,3,6,0,5,0,0,1,False,0,True,1,0,1,0,0
118,34,State-gov,318982,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1848,40,United-States,4,5,0,7,0,0,1,True,0,True,1,0,1,0,1
119,45,Private,151518,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1,0,0,5,0,0,1,False,0,True,3,8,1,0,0
120,36,Private,111128,HS-grad,9,Separated,Craft-repair,Own-child,White,Male,0,0,40,United-States,1,0,4,0,1,0,1,False,0,True,1,0,0,0,0
121,33,Private,348152,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,1,6,1,6,2,0,1,False,0,True,1,0,0,0,0
122,24,Private,353696,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,Canada,1,6,1,10,1,0,8,False,0,False,0,0,0,0,0
123,45,Private,38950,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,1,3,1,0,2,0,1,False,0,True,1,0,0,0,0
124,34,Self-emp-not-inc,209768,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,0,0,5,0,0,1,False,0,True,1,0,1,0,0
125,22,Private,41763,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,42,United-States,1,0,0,4,0,0,1,False,0,True,1,0,1,0,0
126,49,Federal-gov,175428,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,3,6,0,6,0,0,1,False,0,True,1,0,1,0,0
127,37,Self-emp-inc,257295,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand,2,6,0,5,0,4,9,False,0,False,2,0,1,0,0
128,44,Federal-gov,306440,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,3,0,2,0,2,0,1,False,0,True,1,0,0,0,0
129,47,Private,278900,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,0,0,0,0,0,1,False,0,True,1,0,1,0,0
130,36,Private,231082,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,1,3,2,3,2,0,1,False,0,True,3,6,0,0,0
131,28,Private,197484,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,1,0,1,1,1,0,1,False,0,True,1,0,0,0,0
132,33,Private,376483,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,1,6,2,6,2,1,1,False,0,True,1,0,0,0,0
133,19,Private,229756,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,50,United-States,1,0,1,4,1,0,1,False,0,True,3,0,0,0,0
134,24,Private,140500,10th,6,Never-married,Sales,Unmarried,White,Female,0,0,40,United-States,1,9,1,4,3,0,1,False,0,True,1,0,0,0,0
135,30,Private,393965,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,1,1,2,6,2,0,1,False,0,True,0,0,0,0,0
136,32,Private,250853,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,1,11,2,6,2,0,1,False,0,True,1,0,0,0,0
137,32,Private,344696,Some-college,10,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,1,6,1,7,3,0,1,False,0,True,1,0,0,0,0
138,65,Private,195695,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,1,0,2,6,2,0,1,False,0,True,1,0,0,0,0
139,32,Private,131584,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States,1,0,0,4,0,0,1,False,0,True,1,0,1,0,1
140,48,Private,162187,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,1,3,0,5,0,0,1,False,0,True,3,8,1,0,0
141,31,Private,574005,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,1,3,0,0,0,0,1,False,0,True,3,3,1,0,0
142,23,Private,197613,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,1,6,1,6,2,0,1,False,0,True,1,0,0,0,0
143,24,Private,199444,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,15,United-States,1,3,1,5,1,0,1,False,0,True,0,0,0,0,0
144,56,Local-gov,198277,12th,8,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,5,2,1,1,2,0,1,False,0,True,1,0,0,0,0
145,38,Self-emp-inc,308686,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,70,United-States,2,3,0,3,0,0,1,False,0,True,3,6,1,0,0
146,19,Private,255176,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,1,0,1,6,1,0,1,False,0,True,0,0,0,0,0
147,25,Private,173212,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,1,3,1,3,1,0,1,False,0,True,1,0,0,0,0
148,39,Private,103456,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,1,3,0,6,0,0,1,False,0,True,3,0,1,0,0
149,62,Private,291904,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,20,United-States,1,0,2,12,2,1,1,False,0,True,0,0,0,0,0
150,37,Private,52870,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,3,0,5,0,0,1,False,0,True,1,0,1,0,0
151,57,Self-emp-inc,172654,Prof-school,15,Married-civ-spouse,Transport-moving,Husband,White,Male,15024,0,50,United-States,2,4,0,11,0,0,1,True,0,True,3,0,1,0,1
152,75,Private,186808,11th,7,Married-civ-spouse,Protective-serv,Husband,Black,Male,6418,0,50,United-States,1,12,0,8,0,1,1,False,0,True,3,0,1,0,0
153,50,Private,271262,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1,0,0,11,0,0,1,False,0,True,1,0,1,0,0
154,25,Private,208591,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,1,0,1,7,1,0,1,False,0,True,1,0,0,0,0
155,49,Self-emp-not-inc,165229,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,11,0,5,0,0,1,False,0,True,1,0,1,0,0
156,32,Self-emp-not-inc,151868,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,5013,0,65,United-States,0,0,0,2,0,0,1,False,0,True,3,0,1,0,0
157,28,Private,167737,Bachelors,13,Widowed,Other-service,Own-child,White,Male,0,1974,50,United-States,1,3,3,10,1,0,1,False,0,True,3,13,0,0,0
158,46,Self-emp-not-inc,131091,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,0,3,0,4,0,0,1,False,0,True,1,0,1,0,0
159,33,Private,262439,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,1,0,0,6,5,0,1,False,0,True,1,0,1,0,0
160,48,Private,99127,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,1,1,0,11,0,0,1,False,0,True,3,0,1,0,0
